nit,news_id,participacion,categoria,recomendacion
890311341,news25856,Cliente,macroeconomía,1
860050750,news10323,Cliente,macroeconomía,2
860071562,news10292,Cliente,macroeconomía,3
860025900,news31742,Cliente,macroeconomía,4
800244387,news51590,Cliente,macroeconomía,5
890301443,news36853,Cliente,macroeconomía,6
860068182,news10292,Cliente,macroeconomía,7
860068182,news19408,Cliente,macroeconomía,8
860050750,news96851,Cliente,macroeconomía,9
890201201,news43680,Cliente,macroeconomía,10
860068182,news20662,Cliente,macroeconomía,11
860068182,news20665,Cliente,macroeconomía,12
860068182,news20670,Cliente,macroeconomía,13
860068182,news20709,Cliente,macroeconomía,14
860068182,news20714,Cliente,macroeconomía,15
860068182,news20725,Cliente,macroeconomía,16
860068182,news20733,Cliente,macroeconomía,17
800138188,news55951,Cliente,macroeconomía,18
860068182,news38452,Cliente,macroeconomía,19
860068182,news38632,Cliente,macroeconomía,20
860068182,news40339,Cliente,macroeconomía,21
860068182,news41692,Cliente,macroeconomía,22
860068182,news45205,Cliente,macroeconomía,23
860068182,news45726,Cliente,macroeconomía,24
860068182,news56266,Cliente,macroeconomía,25
860068182,news56271,Cliente,macroeconomía,26
860068182,news56275,Cliente,macroeconomía,27
860068182,news56276,Cliente,macroeconomía,28
860068182,news56278,Cliente,macroeconomía,29
860068182,news56279,Cliente,macroeconomía,30
860068182,news56311,Cliente,macroeconomía,31
860068182,news56312,Cliente,macroeconomía,32
860007738,news10201,Cliente,macroeconomía,33
860007738,news10297,Cliente,macroeconomía,34
860030197,news33986,Cliente,macroeconomía,35
860007738,news10323,Cliente,macroeconomía,36
811019012,news89129,Cliente,macroeconomía,37
860007738,news56701,Cliente,macroeconomía,38
890903474,news15347,Cliente,macroeconomía,39
890903474,news22520,Cliente,macroeconomía,40
890903474,news45507,Cliente,macroeconomía,41
860007738,news56662,Cliente,macroeconomía,42
811019012,news89122,Cliente,macroeconomía,43
860007738,news56655,Cliente,macroeconomía,44
860002398,news84587,Cliente,macroeconomía,45
800204737,news18088,Cliente,macroeconomía,46
860002398,news84583,Cliente,macroeconomía,47
800204737,news18149,Cliente,macroeconomía,48
800204737,news18169,Cliente,macroeconomía,49
860007738,news44935,Cliente,macroeconomía,50
860007738,news44836,Cliente,macroeconomía,51
800204737,news45730,Cliente,macroeconomía,52
860007738,news10858,Cliente,macroeconomía,53
900524988,news84940,Cliente,macroeconomía,54
800204737,news52086,Cliente,macroeconomía,55
800204737,news52135,Cliente,macroeconomía,56
890900291,news40868,Cliente,macroeconomía,57
800204737,news52191,Cliente,macroeconomía,58
900422614,news33394,Cliente,macroeconomía,59
900524988,news30610,Cliente,macroeconomía,60
800204737,news52193,Cliente,macroeconomía,61
860007738,news10831,Cliente,macroeconomía,62
860007738,news10394,Cliente,macroeconomía,63
800204737,news99015,Cliente,macroeconomía,64
860007738,news10382,Cliente,macroeconomía,65
860068182,news56383,Cliente,macroeconomía,66
890105652,news27895,Cliente,macroeconomía,67
890105652,news41855,Cliente,macroeconomía,68
890203088,news15386,Cliente,macroeconomía,69
890203088,news15376,Cliente,macroeconomía,70
901081311,news61833,Cliente,macroeconomía,71
890203088,news10676,Cliente,macroeconomía,72
890203088,news10660,Cliente,macroeconomía,73
890203088,news10659,Cliente,macroeconomía,74
901081311,news59313,Cliente,macroeconomía,75
901081311,news55856,Cliente,macroeconomía,76
800073419,news14422,Cliente,macroeconomía,77
901081311,news51139,Cliente,macroeconomía,78
901081311,news51116,Cliente,macroeconomía,79
800073419,news14464,Cliente,macroeconomía,80
800073419,news42292,Cliente,macroeconomía,81
890301753,news98507,Cliente,macroeconomía,82
900047981,news96862,Cliente,macroeconomía,83
900047981,news96851,Cliente,macroeconomía,84
901081311,news50136,Cliente,macroeconomía,85
890301753,news98463,Cliente,macroeconomía,86
860074450,news33416,Cliente,macroeconomía,87
901081311,news49837,Cliente,macroeconomía,88
900047981,news44801,Cliente,macroeconomía,89
900047981,news35958,Cliente,macroeconomía,90
860025372,news41942,Cliente,macroeconomía,91
860025372,news20179,Cliente,macroeconomía,92
900047981,news10323,Cliente,macroeconomía,93
900047981,news10299,Cliente,macroeconomía,94
900047981,news10297,Cliente,macroeconomía,95
900047981,news10201,Cliente,macroeconomía,96
901081311,news45363,Cliente,macroeconomía,97
860074450,news27437,Cliente,macroeconomía,98
890203088,news15380,Cliente,macroeconomía,99
901081311,news63857,Cliente,macroeconomía,100
890900076,news29812,Cliente,macroeconomía,101
890203088,news15395,Cliente,macroeconomía,102
811019012,news28877,Cliente,macroeconomía,103
890900076,news50136,Cliente,macroeconomía,104
860002130,news51590,Cliente,macroeconomía,105
860000531,news13802,Cliente,macroeconomía,106
860002274,news18024,Cliente,macroeconomía,107
890900076,news83442,Cliente,macroeconomía,108
811019012,news14806,Cliente,macroeconomía,109
860000846,news32532,Cliente,macroeconomía,110
811019012,news14800,Cliente,macroeconomía,111
890900076,news83525,Cliente,macroeconomía,112
860002274,news51808,Cliente,macroeconomía,113
860034313,news90330,Cliente,macroeconomía,114
860002274,news51815,Cliente,macroeconomía,115
860002274,news51825,Cliente,macroeconomía,116
860002130,news18586,Cliente,macroeconomía,117
811019012,news14789,Cliente,macroeconomía,118
811019012,news14765,Cliente,macroeconomía,119
860002274,news51906,Cliente,macroeconomía,120
811019012,news12807,Cliente,macroeconomía,121
860002274,news51918,Cliente,macroeconomía,122
860034313,news10348,Cliente,macroeconomía,123
860002274,news51935,Cliente,macroeconomía,124
901081311,news95826,Cliente,macroeconomía,125
901081311,news92167,Cliente,macroeconomía,126
901081311,news92162,Cliente,macroeconomía,127
901081311,news92083,Cliente,macroeconomía,128
901081311,news92074,Cliente,macroeconomía,129
901081311,news92073,Cliente,macroeconomía,130
901081311,news86976,Cliente,macroeconomía,131
860512249,news10239,Cliente,macroeconomía,132
860007738,news96851,Cliente,macroeconomía,133
830131993,news48998,Cliente,macroeconomía,134
860080135,news83918,Cliente,macroeconomía,135
891180084,news22971,Cliente,macroeconomía,136
860006333,news12254,Cliente,macroeconomía,137
860080135,news83857,Cliente,macroeconomía,138
860080135,news83835,Cliente,macroeconomía,139
860080135,news83827,Cliente,macroeconomía,140
860080135,news83803,Cliente,macroeconomía,141
860066789,news86119,Cliente,macroeconomía,142
860066789,news86101,Cliente,macroeconomía,143
860080135,news83764,Cliente,macroeconomía,144
860001942,news12619,Cliente,macroeconomía,145
860080135,news83762,Cliente,macroeconomía,146
800185295,news26551,Cliente,macroeconomía,147
860080135,news61977,Cliente,macroeconomía,148
860028971,news78767,Cliente,macroeconomía,149
860080135,news54808,Cliente,macroeconomía,150
860028971,news78736,Cliente,macroeconomía,151
860080135,news30149,Cliente,macroeconomía,152
860026182,news14674,Cliente,macroeconomía,153
860028971,news78729,Cliente,macroeconomía,154
890209698,news72768,Cliente,macroeconomía,155
860028971,news78723,Cliente,macroeconomía,156
860080135,news30118,Cliente,macroeconomía,157
860080135,news30103,Cliente,macroeconomía,158
860080135,news30097,Cliente,macroeconomía,159
860080135,news10583,Cliente,macroeconomía,160
860080135,news10105,Cliente,macroeconomía,161
860028971,news78515,Cliente,macroeconomía,162
800192961,news16814,Cliente,macroeconomía,163
860028971,news67279,Cliente,macroeconomía,164
891180084,news22991,Cliente,macroeconomía,165
860006333,news12244,Cliente,macroeconomía,166
890903939,news78298,Cliente,macroeconomía,167
860080135,news83925,Cliente,macroeconomía,168
890984002,news24796,Cliente,macroeconomía,169
890984002,news24795,Cliente,macroeconomía,170
800138188,news63857,Cliente,macroeconomía,171
890984002,news24755,Cliente,macroeconomía,172
890984002,news13199,Cliente,macroeconomía,173
800138188,news81683,Cliente,macroeconomía,174
800138188,news81706,Cliente,macroeconomía,175
860056070,news65164,Cliente,macroeconomía,176
800138188,news97027,Cliente,macroeconomía,177
860063875,news30118,Cliente,macroeconomía,178
899999063,news88974,Cliente,macroeconomía,179
899999063,news88952,Cliente,macroeconomía,180
800042471,news42518,Cliente,macroeconomía,181
899999063,news68360,Cliente,macroeconomía,182
899999063,news67279,Cliente,macroeconomía,183
899999063,news52636,Cliente,macroeconomía,184
899999063,news51138,Cliente,macroeconomía,185
899999063,news24755,Cliente,macroeconomía,186
899999063,news23228,Cliente,macroeconomía,187
899999063,news23219,Cliente,macroeconomía,188
899999063,news23215,Cliente,macroeconomía,189
899999063,news23153,Cliente,macroeconomía,190
899999063,news23152,Cliente,macroeconomía,191
899999063,news23117,Cliente,macroeconomía,192
899999063,news21125,Cliente,macroeconomía,193
899999063,news15607,Cliente,macroeconomía,194
891180084,news23013,Cliente,macroeconomía,195
860080135,news83930,Cliente,macroeconomía,196
891180084,news22999,Cliente,macroeconomía,197
860028971,news62430,Cliente,macroeconomía,198
890903939,news78284,Cliente,macroeconomía,199
890300684,news34140,Cliente,macroeconomía,200
830129327,news77933,Cliente,macroeconomía,201
900041914,news13756,Cliente,macroeconomía,202
900041914,news23597,Cliente,macroeconomía,203
860078643,news72904,Cliente,macroeconomía,204
900041914,news87618,Cliente,macroeconomía,205
860078643,news72898,Cliente,macroeconomía,206
860078643,news72874,Cliente,macroeconomía,207
830129327,news18169,Cliente,macroeconomía,208
860078643,news25552,Cliente,macroeconomía,209
800000946,news69546,Cliente,macroeconomía,210
800000946,news89860,Cliente,macroeconomía,211
830131993,news16416,Cliente,macroeconomía,212
830131993,news16625,Cliente,macroeconomía,213
830131993,news48725,Cliente,macroeconomía,214
811005628,news20944,Cliente,macroeconomía,215
830131993,news48745,Cliente,macroeconomía,216
890800467,news39351,Cliente,macroeconomía,217
830131993,news48863,Cliente,macroeconomía,218
860025971,news96851,Cliente,macroeconomía,219
830131993,news48909,Cliente,macroeconomía,220
860025971,news57602,Cliente,macroeconomía,221
860025971,news44836,Cliente,macroeconomía,222
830131993,news48933,Cliente,macroeconomía,223
830131993,news48940,Cliente,macroeconomía,224
830131993,news48956,Cliente,macroeconomía,225
860025971,news10652,Cliente,macroeconomía,226
860025971,news10407,Cliente,macroeconomía,227
860025971,news10323,Cliente,macroeconomía,228
830131993,news48986,Cliente,macroeconomía,229
860025971,news10239,Cliente,macroeconomía,230
830129327,news45747,Cliente,macroeconomía,231
860012357,news13199,Cliente,macroeconomía,232
860028971,news45058,Cliente,macroeconomía,233
830025149,news29387,Cliente,macroeconomía,234
890903939,news50136,Cliente,macroeconomía,235
890903939,news50107,Cliente,macroeconomía,236
890903939,news50106,Cliente,macroeconomía,237
890903939,news50099,Cliente,macroeconomía,238
890903939,news50080,Cliente,macroeconomía,239
800192961,news96065,Cliente,macroeconomía,240
860028971,news44406,Cliente,macroeconomía,241
890903939,news27437,Cliente,macroeconomía,242
890903939,news27434,Cliente,macroeconomía,243
860028971,news21946,Cliente,macroeconomía,244
860028971,news21918,Cliente,macroeconomía,245
890903939,news27407,Cliente,macroeconomía,246
860028971,news21125,Cliente,macroeconomía,247
860028971,news15607,Cliente,macroeconomía,248
830074222,news12619,Cliente,macroeconomía,249
890903939,news17174,Cliente,macroeconomía,250
830138043,news17121,Cliente,macroeconomía,251
900464054,news12807,Cliente,macroeconomía,252
830074222,news45504,Cliente,macroeconomía,253
830074222,news47326,Cliente,macroeconomía,254
800185295,news26575,Cliente,macroeconomía,255
860005224,news72898,Cliente,macroeconomía,256
860012357,news66934,Cliente,macroeconomía,257
860012357,news66886,Cliente,macroeconomía,258
860012357,news66822,Cliente,macroeconomía,259
800185295,news26582,Cliente,macroeconomía,260
860012357,news54966,Cliente,macroeconomía,261
860012357,news21773,Cliente,macroeconomía,262
830025149,news29369,Cliente,macroeconomía,263
901081311,news34726,Cliente,macroeconomía,264
901081311,news30139,Cliente,macroeconomía,265
890801748,news50512,Cliente,macroeconomía,266
810000450,news16638,Cliente,macroeconomía,267
900017447,news10299,Cliente,macroeconomía,268
900017447,news10297,Cliente,macroeconomía,269
900017447,news10234,Cliente,macroeconomía,270
900017447,news10201,Cliente,macroeconomía,271
800035156,news45730,Cliente,macroeconomía,272
890101279,news12619,Cliente,macroeconomía,273
800035156,news21799,Cliente,macroeconomía,274
800035156,news21771,Cliente,macroeconomía,275
900216859,news96229,Cliente,macroeconomía,276
800035156,news21764,Cliente,macroeconomía,277
900843898,news16996,Cliente,macroeconomía,278
900843898,news17003,Cliente,macroeconomía,279
890101279,news55485,Cliente,macroeconomía,280
890101279,news56701,Cliente,macroeconomía,281
